UF;NOME_CIDADE;2012;2013;2014
AC;Acrelândia;13011;13353;13613
AC;Assis Brasil;6308;6480;6610
AC;Brasiléia;22261;22899;23378
AC;Bujari;8782;9003;9173
AC;Capixaba;9368;9836;10170
AC;Cruzeiro do Sul;79819;80377;80953
AC;Epitaciolândia;15679;16099;16417
AC;Feijó;32560;32411;32398
AC;Jordão;6898;7147;7330
AC;Mâncio Lima;15890;16410;16795
AC;Manoel Urbano;8224;8386;8514
AC;Marechal Thaumaturgo;15123;15857;16380
AC;Plácido de Castro;17587;17795;17979
AC;Porto Acre;15534;16029;16396
AC;Porto Walter;9711;10143;10453
AC;Rio Branco;348354;357194;363928
AC;Rodrigues Alves;15260;15968;16475
AC;Santa Rosa do Purus;5061;5374;5593
AC;Sena Madureira;39366;40311;41036
AC;Senador Guiomard;20588;20799;20992
AC;Tarauacá;36763;37571;38201
AC;Xapuri;16639;17021;17317
AL;Água Branca;19763;20545;20601
AL;Anadia;17360;17989;17972
AL;Arapiraca;218140;227640;229329
AL;Atalaia;44892;46787;47052
AL;Barra de Santo Antônio;14665;15377;15565
AL;Barra de São Miguel;7755;8112;8191
AL;Batalha;17420;18201;18353
AL;Belém;4635;4737;4659
AL;Belo Monte;6499;6751;6763
AL;Boca da Mata;26010;27074;27185
AL;Branquinha;10471;10823;10783
AL;Cacimbinhas;10307;10729;10775
AL;Cajueiro;20626;21480;21261
AL;Campestre;6655;6925;6952
AL;Campo Alegre;52327;55161;55814
AL;Campo Grande;9273;9631;9646
AL;Canapi;17238;17880;17973
AL;Capela;16728;17266;17591
AL;Carneiros;8548;8758;8867
AL;Chã Preta;7146;7413;7417
AL;Coité do Nóia;10765;11110;11049
AL;Colônia Leopoldina;20401;21307;21477
AL;Coqueiro Seco;5586;5817;5844
AL;Coruripe;53224;55648;56153
AL;Craíbas;22921;23885;24166
AL;Delmiro Gouveia;48876;50999;51349
AL;Dois Riachos;10838;11234;11229
AL;Estrela de Alagoas;17410;18123;18198
AL;Feira Grande;21342;22377;22406
AL;Feliz Deserto;4482;4678;4714
AL;Flexeiras;12378;12862;12890
AL;Girau do Ponciano;37858;39657;40100
AL;Ibateguara;15180;15762;15783
AL;Igaci;25129;26051;26060
