"UF","NOME_CIDADE",2012,2013,2014,2015
"AC","Acrelândia",13011,13353,13613,13869
"AC","Assis Brasil",6308,6480,6610,6738
"AC","Brasiléia",22261,22899,23378,23849
"AC","Bujari",8782,9003,9173,9339
"AC","Capixaba",9368,9836,10170,10498
"AC","Cruzeiro do Sul",79819,80377,80953,81519
"AC","Epitaciolândia",15679,16099,16417,16731
"AC","Feijó",32560,32411,32398,32385
"AC","Jordão",6898,7147,7330,7509
"AC","Mâncio Lima",15890,16410,16795,17173
"AC","Manoel Urbano",8224,8386,8514,8641
"AC","Marechal Thaumaturgo",15123,15857,16380,16895
"AC","Plácido de Castro",17587,17795,17979,18159
"AC","Porto Acre",15534,16029,16396,16757
"AC","Porto Walter",9711,10143,10453,10759
"AC","Rio Branco",348354,357194,363928,370550
"AC","Rodrigues Alves",15260,15968,16475,16974
"AC","Santa Rosa do Purus",5061,5374,5593,5809
"AC","Sena Madureira",39366,40311,41036,41750
"AC","Senador Guiomard",20588,20799,20992,21182
"AC","Tarauacá",36763,37571,38201,38819
"AC","Xapuri",16639,17021,17317,17608
"AL","Água Branca",19763,20545,20601,20434
"AL","Anadia",17360,17989,17972,17847
"AL","Arapiraca",218140,227640,229329,231053
"AL","Atalaia",44892,46787,47052,47298
"AL","Barra de Santo Antônio",14665,15377,15565,15742
"AL","Barra de São Miguel",7755,8112,8191,8266
"AL","Batalha",17420,18201,18353,18496
"AL","Belém",4635,4737,4659,4585
"AL","Belo Monte",6499,6751,6763,6775
"AL","Boca da Mata",26010,27074,27185,27399
"AL","Branquinha",10471,10823,10783,10745
"AL","Cacimbinhas",10307,10729,10775,10818
"AL","Cajueiro",20626,21480,21261,21355
"AL","Campestre",6655,6925,6952,6978
"AL","Campo Alegre",52327,55161,55814,56430
"AL","Campo Grande",9273,9631,9646,9664
"AL","Canapi",17238,17880,17973,17976
"AL","Capela",16728,17266,17591,17507
"AL","Carneiros",8548,8758,8867,8969
"AL","Chã Preta",7146,7413,7417,7421
"AL","Coité do Nóia",10765,11110,11049,10992
"AL","Colônia Leopoldina",20401,21307,21477,21636
"AL","Coqueiro Seco",5586,5817,5844,5870
"AL","Coruripe",53224,55648,56153,56631
"AL","Craíbas",22921,23885,24166,24288
"AL","Delmiro Gouveia",48876,50999,51349,51997
"AL","Dois Riachos",10838,11234,11229,11224
"AL","Estrela de Alagoas",17410,18123,18198,18306
"AL","Feira Grande",21342,22377,22406,22432
"AL","Feliz Deserto",4482,4678,4714,4746
"AL","Flexeiras",12378,12862,12890,12917
"AL","Girau do Ponciano",37858,39657,40100,40519
"AL","Ibateguara",15180,15762,15783,15803
"AL","Igaci",25129,26051,26060,26041
"AL","Igreja Nova",23570,24328,24455,24575
"AL","Inhapi",17839,18516,18535,18621
"AL","Jacaré dos Homens",5352,5511,5469,5429
"AL","Jacuípe",6950,7193,7177,7162
"AL","Japaratinga",7888,8234,8294,8350
"AL","Jaramataia",5524,5718,5706,5695
"AL","Jequiá da Praia",11887,11969,11918,11869
"AL","Joaquim Gomes",22853,23813,23941,24061
