NomeMun;SiglaUF;DIVUR_N3;Latitude;Longitude
Acrelândia;AC;Rio Branco;-9,82;-66,88
Assis Brasil;AC;Rio Branco;-10,94;-69,56
Brasiléia;AC;Rio Branco;-11,01;-68,74
Bujari;AC;Rio Branco;-9,83;-67,95
Capixaba;AC;Rio Branco;-10,57;-67,67
Cruzeiro do Sul;AC;Cruzeiro do Sul;-7,63;-72,67
Epitaciolândia;AC;Rio Branco;-11,02;-68,74
Feijó;AC;Rio Branco;-8,16;-70,35
Jordão;AC;Rio Branco;-9,43;-71,88
Mâncio Lima;AC;Cruzeiro do Sul;-7,61;-72,89
Manoel Urbano;AC;Rio Branco;-8,83;-69,26
Marechal Thaumaturgo;AC;Cruzeiro do Sul;-8,94;-72,79
Plácido de Castro;AC;Rio Branco;-10,27;-67,15
Porto Walter;AC;Cruzeiro do Sul;-8,26;-72,74
Rio Branco;AC;Rio Branco;-9,97;-67,81
Rodrigues Alves;AC;Cruzeiro do Sul;-7,74;-72,64
Santa Rosa do Purus;AC;Rio Branco;-9,43;-70,49
Senador Guiomard;AC;Rio Branco;-10,15;-67,73
Sena Madureira;AC;Rio Branco;-9,06;-68,65
Tarauacá;AC;Rio Branco;-8,16;-70,76
Xapuri;AC;Rio Branco;-10,65;-68,5
Porto Acre;AC;Rio Branco;-9,58;-67,53
Água Branca;AL;Paulo Afonso;-9,26;-37,93
Anadia;AL;Maceió;-9,68;-36,3
Arapiraca;AL;Arapiraca;-9,75;-36,66
Atalaia;AL;Maceió;-9,5;-36,02
Barra de Santo Antônio;AL;Maceió;-9,4;-35,5
Barra de São Miguel;AL;Maceió;-9,84;-35,9
Batalha;AL;Arapiraca;-9,67;-37,12
Belém;AL;Palmeira dos Índios;-9,57;-36,49
Belo Monte;AL;Arapiraca;-9,82;-37,28
Boca da Mata;AL;Maceió;-9,64;-36,22
Branquinha;AL;União dos Palmares;-9,24;-36,01
Cacimbinhas;AL;Palmeira dos Índios;-9,4;-36,99
Cajueiro;AL;Maceió;-9,39;-36,15
Campestre;AL;Palmares;-8,84;-35,56
Campo Alegre;AL;Maceió;-9,78;-36,35
Campo Grande;AL;Arapiraca;-9,95;-36,79
Canapi;AL;Santana do Ipanema;-9,12;-37,6
Capela;AL;Maceió;-9,4;-36,07
Carneiros;AL;Santana do Ipanema;-9,48;-37,37
Chã Preta;AL;Maceió;-9,25;-36,29
Coité do Nóia;AL;Arapiraca;-9,63;-36,57
Colônia Leopoldina;AL;Palmares;-8,9;-35,72
Coqueiro Seco;AL;Maceió;-9,63;-35,8
Coruripe;AL;Maceió;-10,12;-36,17
Craíbas;AL;Arapiraca;-9,61;-36,76
Delmiro Gouveia;AL;Delmiro Gouveia;-9,38;-37,99
Dois Riachos;AL;Santana do Ipanema;-9,39;-37,1
Estrela de Alagoas;AL;Palmeira dos Índios;-9,39;-36,76
Feira Grande;AL;Arapiraca;-9,9;-36,67
Feliz Deserto;AL;Penedo;-10,29;-36,3
Flexeiras;AL;Maceió;-9,27;-35,71
Girau do Ponciano;AL;Arapiraca;-9,88;-36,82
Ibateguara;AL;Maceió;-8,97;-35,93
Igaci;AL;Arapiraca;-9,53;-36,63
Igreja Nova;AL;Penedo;-10,12;-36,66
Inhapi;AL;Santana do Ipanema;-9,21;-37,75
Jacaré dos Homens;AL;Arapiraca;-9,63;-37,2
Jacuípe;AL;Palmares;-8,84;-35,46
Japaratinga;AL;Maceió;-9,08;-35,25
Jaramataia;AL;Arapiraca;-9,65;-37
Jequiá da Praia;AL;Maceió;;
Joaquim Gomes;AL;Maceió;-9,13;-35,74
Jundiá;AL;Palmares;-8,93;-35,57
Junqueiro;AL;Arapiraca;-9,92;-36,47
Lagoa da Canoa;AL;Arapiraca;-9,83;-36,73
Limoeiro de Anadia;AL;Arapiraca;-9,74;-36,5
Maceió;AL;Maceió;-9,66;-35,73
Major Isidoro;AL;Arapiraca;-9,53;-36,98
Maragogi;AL;Maceió;-9,01;-35,22
Maravilha;AL;Santana do Ipanema;-9,23;-37,35
Marechal Deodoro;AL;Maceió;-9,71;-35,89
Maribondo;AL;Maceió;-9,57;-36,3
Mar Vermelho;AL;Maceió;-9,44;-36,38
Mata Grande;AL;Santana do Ipanema;-9,11;-37,73
Matriz de Camaragibe;AL;Maceió;-9,15;-35,53
Messias;AL;Maceió;-9,38;-35,84
Minador do Negrão;AL;Palmeira dos Índios;-9,3;-36,86
Monteirópolis;AL;Arapiraca;-9,6;-37,24
Murici;AL;Maceió;-9,3;-35,94
Novo Lino;AL;Palmares;-8,91;-35,64
Olho d'Água das Flores;AL;Arapiraca;-9,53;-37,29
Olho d'Água do Casado;AL;Delmiro Gouveia;-9,5;-37,83
Olho d'Água Grande;AL;Arapiraca;-10,05;-36,81
Olivença;AL;Santana do Ipanema;-9,51;-37,19
Ouro Branco;AL;Santana do Ipanema;-9,16;-37,35
Palestina;AL;Arapiraca;-9,67;-37,32
Palmeira dos Índios;AL;Palmeira dos Índios;-9,4;-36,62
