"NOME_MUNICIPIO";"RENDA";"EDUCACAO";"SOBREVIVENCIA";"INFRAESTRUTURA";"Acesso a informação";"HABITACAO";"MOBILIDADE";"MIQL-M";"MIQL-T"
"Adamantina";0.5480537236;0.7517030019;0.9418425846;0.8883158939;0.7306433378;0.9490962277;0.876116;0.7877803458;0.7998322713
"Adolfo";0.5347016227;0.6956456453;0.9397901955;0.7950028218;0.6567524506;0.9665806346;0.892796;0.7488988393;0.767940039
"Aguaí";0.5256612386;0.6929433573;0.9449015693;0.8076503698;0.6767479841;0.9267910036;0.857281;0.7474297947;0.7622158015
"Águas da Prata";0.5417357544;0.7213372889;0.9465575208;0.8276620513;0.675519476;0.9120714589;0.843481;0.7572956221;0.7690464447
"Águas de Lindóia";0.5416404516;0.696886032;0.9450036919;0.8644426561;0.7070834047;0.9132719266;0.896911;0.7641621975;0.7818496309
"Águas de Santa Bárbara";0.5433895146;0.7258798101;0.9314635088;0.7055610377;0.6752402107;0.9259749459;0.878378;0.7383954126;0.7569363146
"Águas de São Pedro";0.5778440942;0.7865977237;0.9390872405;0.9466033448;0.7633864889;0.9504004986;0.917531;0.8150446679;0.8289529609
"Agudos";0.5322734694;0.7177118213;0.947146719;0.8799570522;0.6997660197;0.9115328996;0.818022;0.7666811908;0.7738134289
"Alambari";0.5212794537;0.6858498496;0.9369051317;0.6940897848;0.6266895673;0.9377101506;0.907542;0.717665388;0.7421394779
"Alfredo Marcondes";0.5283506975;0.7200733913;0.9521001053;0.7607036761;0.6423614849;0.9574029523;0.820736;0.743895455;0.7544156728
"Altair";0.5296082512;0.6834859247;0.9182219179;0.7193118839;0.5908560098;0.9113990197;0.804551;0.7105967832;0.7233151669
"Altinópolis";0.5377317614;0.6965896588;0.9405653949;0.8015976508;0.705847124;0.9202908681;0.844151;0.7537962704;0.7660863439
"Alto Alegre";0.5282483904;0.7007231123;0.9435888066;0.7329096007;0.6351971573;0.9631639321;0.797682;0.7341831768;0.742935155
"Alumínio";0.5410398207;0.7374688101;0.9205835561;0.807450796;0.6704621708;0.8988399935;0.843471;0.7505301429;0.7631524175
"Álvares Florence";0.5299860473;0.6951075666;0.916637455;0.6765400796;0.6272538315;0.9431396502;0.897331;0.7163707055;0.7397949603
"Álvares Machado";0.5293017562;0.7130993132;0.941528176;0.8072566046;0.6788335254;0.9296981868;0.851564;0.7521433001;0.7656018554
"Álvaro de Carvalho";0.5224245421;0.65084936;0.9217596721;0.4972797534;0.3969097415;0.3167256565;0.842126;0.5192178201;0.5563569481
"Alvinlândia";0.5253818176;0.7136859977;0.929241089;0.7976008474;0.6255024233;0.9517571308;0.882911;0.740926669;0.7597183439
"Americana";0.5651015866;0.7484406332;0.9459983;0.9435111565;0.7646980714;0.9462850103;0.854315;0.8055123548;0.8123096445
"Américo Brasiliense";0.5346561452;0.700357448;0.9357848362;0.9036328813;0.6803504509;0.9159461195;0.809397;0.7630051886;0.7694661254
"Américo de Campos";0.5336437037;0.7019149332;0.9356056788;0.7759105872;0.6438500373;0.9522932238;0.870608;0.7418782457;0.7590314686
"Amparo";0.5553870348;0.7311682119;0.9470535337;0.8349364612;0.7234491454;0.9361650996;0.873215;0.775473405;0.7887362572
"Analândia";0.5363569431;0.7050371802;0.9476503626;0.7350255156;0.6506326078;0.9228125286;0.888604;0.7353785599;0.755532995
"Andradina";0.5434478746;0.7356306029;0.9365319478;0.8481628881;0.6967910419;0.8654194591;0.881451;0.7592033691;0.7755699804
"Angatuba";0.5267979963;0.690067906;0.9289389748;0.7367351895;0.6245366317;0.9250991021;0.849272;0.7237636816;0.7404883288
"Anhembi";0.5264283951;0.6923313286;0.9395546311;0.7274660108;0.6456604652;0.9264368067;0.864564;0.7281172807;0.7462045325
"Anhumas";0.5237918541;0.7149641302;0.927755076;0.7433436622;0.6495041581;0.9184578675;0.828072;0.7321799945;0.7451669887
"Aparecida";0.5394169607;0.7351716463;0.9362612943;0.9046533501;0.7220239983;0.9057332839;0.886422;0.7767669915;0.7915595365
"Aparecida d'Oeste";0.5214213774;0.7044058926;0.9330039161;0.7620742659;0.6563323687;0.9124548341;0.863465;0.7340144831;0.7512453341
"Apiaí";0.5004800899;0.705367863;0.9177522324;0.6819751374;0.6017411097;0.8949360855;0.84463;0.7013202216;0.7201983066
"Araçariguama";0.5333515555;0.6836044797;0.938592622;0.7005842125;0.6362036568;0.8477962602;0.864965;0.7111162467;0.7312935355
"Araçatuba";0.551432196;0.7479592711;0.9435663421;0.9174381642;0.7114123047;0.9460280277;0.883162;0.7884801807;0.8013577428
"Araçoiaba da Serra";0.5402710447;0.7183006037;0.931004541;0.6765933954;0.6671425023;0.9212068662;0.842319;0.729114176;0.7443033584
"Aramina";0.5393966599;0.6940029579;0.9369000855;0.8376048346;0.7096024494;0.9556347158;0.836661;0.7642196062;0.7741710727
"Arandu";0.5243305931;0.6828774225;0.9388411415;0.7130487691;0.6535475763;0.8984780207;0.861416;0.7212303506;0.739765107
"Arapeí";0.5081349513;0.6857591094;0.8971333153;0.6656397275;0.6161716167;0.9359440951;0.90102;0.7023168342;0.7277637415
"Araraquara";0.5589130078;0.7621065787;0.9454467449;0.9346330785;0.7654782947;0.9197919618;0.848692;0.8014506266;0.8080348769
